,LAYING,SITTING,STANDING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,accuracy,macro avg,weighted avg
precision,1.0,0.934640522875817,0.8900709219858156,0.8825688073394495,0.9565217391304348,0.8987341772151899,0.9253478113335596,0.9270893614244512,0.9271202183820779
recall,1.0,0.8737270875763747,0.943609022556391,0.969758064516129,0.8380952380952381,0.9044585987261147,0.9253478113335596,0.921608001911708,0.9253478113335596
f1-score,1.0,0.9031578947368422,0.916058394160584,0.9241114313160422,0.8934010152284264,0.9015873015873016,0.9253478113335596,0.9230526728381995,0.9250182922923431
support,537.0,491.0,532.0,496.0,420.0,471.0,0.9253478113335596,2947.0,2947.0
