metric,value
accuracy,0.9253478113335596
precision_macro,0.9270893614244512
recall_macro,0.921608001911708
f1_macro,0.9230526728381995
precision_micro,0.9253478113335596
recall_micro,0.9253478113335596
f1_micro,0.9253478113335596
